"taxon_std","name_full","red_list_category","code"
"Asplenium adulterinum_x Milde","Asplenium adulterinum Milde","2","closed_forest"
"Bupleurum longifolium L.","Bupleurum longifolium L.","3","edge_disturbance"
"Campanula baumgartenii Becker","Campanula baumgartenii Becker","3","edge_disturbance"
"Carex buekii Wimm.","Carex buekii Wimm.","3","edge_disturbance"
"Carex depauperata Curtis ex Stokes","Carex depauperata With.","1","closed_forest"
"Carex ericetorum Pollich","Carex ericetorum Pollich","3","closed_forest"
"Carex halleriana Asso","Carex halleriana Asso","R","edge_disturbance"
"Carex laevigata Sm.","Carex laevigata Sm.","3","closed_forest"
"Carex michelii Host","Carex michelii Host","1","edge_disturbance"
"Centaurea phrygia L.","Centaurea phrygia agg.","3","edge_disturbance"
"Chimaphila umbellata (L.) Nutt.","Chimaphila umbellata (L.) W.P.C. Barton","2","closed_forest"
"Clematis recta L.","Clematis recta L.","3","edge_disturbance"
"Coronilla coronata L.","Coronilla coronata L.","3","edge_disturbance"
"Cyclamen purpurascens Mill.","Cyclamen purpurascens Mill.","3","closed_forest"
"Cypripedium calceolus L.","Cypripedium calceolus L.","3","edge_disturbance"
"Dianthus superbus L.","Dianthus superbus L.","3","edge_disturbance"
"Dictamnus albus L.","Dictamnus albus L.","3","edge_disturbance"
"Diphasiastrum complanatum (L.) Holub","Diphasiastrum complanatum agg.","2","closed_forest"
"Epipactis albensis Nováková & Rydlo","Epipactis albensis Nováková & Rydlo","1","closed_forest"
"Epipactis microphylla (Ehrh.) Sw.","Epipactis microphylla (Ehrh.) Sw.","3","closed_forest"
"Epipogium aphyllum (L.) Sw.","Epipogium aphyllum Sw.","2","closed_forest"
"Gagea minima (L.) KerGawl.","Gagea minima (L.) Ker Gawl.","3","closed_forest"
"Galium intermedium Schult.","Galium intermedium Schult.","2","closed_forest"
"Geranium phaeum L.","Geranium phaeum L.","3","edge_disturbance"
"Goodyera repens (L.) R.Br.","Goodyera repens (L.) R. Br.","3","closed_forest"
"Helleborus niger L.","Helleborus niger L.","3","closed_forest"
"Hieracium fuscocinereum Norrl.","Hieracium fuscocinereum Norrl.","R","closed_forest"
"Hieracium lycopifolium Froel.","Hieracium lycopifolium Froel.","1","edge_disturbance"
"Hierochloe australis (Schrad.) Roem. & Schult.","Hierochloe australis (Schrad.) Roem. & Schult.","2","closed_forest"
"Hyacinthoides non-scripta (L.) Chouard ex Rothm.","Hyacinthoides non-scripta (L.) Rothm.","R","closed_forest"
"Hymenophyllum cordobense (Hieron.) C.Larsen & Arana","Hymenophyllum tunbrigense (L.) Sm.","1","closed_forest"
"Knautia drymeia Heuff.","Knautia drymeia Heuff.","2","edge_disturbance"
"Lactuca quercina L.","Lactuca quercina L.","2","closed_forest"
